horodataire,style_vestimentaire,sexe,age,domaine,statut,fruits et legumes,feculents,laitage,viande,poisson
15/11/2019 19:37:37,Tendance/fashionista,Homme,26-35 ans,Informatique & Télécommunication,Etudiant(e),Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours
15/11/2019 19:40:52,Naturel/sportive,Femme,26-35 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine
15/11/2019 19:46:16,Naturel/sportive,Femme,26-35 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Tous les jours,Une fois par mois,Tous les jours,Une fois par mois
15/11/2019 19:47:50,Classique,Homme,18-25 ans,Informatique & Télécommunication,Cadre,Une fois par mois,Une fois par semaine,Une fois par semaine,Tous les jours,Tous les jours
15/11/2019 19:49:34,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par mois,Tous les jours,Tous les jours,Tous les jours
15/11/2019 19:56:30,Classique,Homme,36-45 ans,Comptabilité & Marketing,Cadre,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par mois
15/11/2019 19:59:11,Classique,Femme,26-35 ans,Comptabilité & Marketing,Indépendant(e),Tous les jours,Une fois par mois,Une fois par mois,Une fois par semaine,Tous les jours
15/11/2019 19:59:12,Classique,Femme,26-35 ans,Comptabilité & Marketing,Indépendant(e),Tous les jours,Une fois par mois,Une fois par mois,Une fois par semaine,Tous les jours
15/11/2019 20:10:47,Naturel/sportive,Homme,26-35 ans,Bâtiment,Etudiant(e),Tous les jours,Une fois par mois,Tous les jours,Une fois par semaine,Une fois par mois
15/11/2019 20:27:20,Minimaliste,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Tous les jours,Une fois par mois,Tous les jours,Une fois par semaine
15/11/2019 20:33:26,Classique,Homme,18-25 ans,Banque & Assurance,Cadre,Une fois par mois,Une fois par mois,Tous les jours,Tous les jours,Jamais
15/11/2019 21:06:39,Minimaliste,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine
15/11/2019 21:08:22,Minimaliste,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine
15/11/2019 21:41:38,Classique,Homme,18-25 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Tous les jours,Une fois par mois,Tous les jours,Une fois par semaine
15/11/2019 23:33:06,Naturel/sportive,Homme,18-25 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours,Une fois par semaine
16/11/2019 02:12:15,Tendance/fashionista,Homme,26-35 ans,Banque & Assurance,Cadre,Tous les jours,Jamais,Une fois par semaine,Une fois par mois,Tous les jours
16/11/2019 10:16:27,Tendance/fashionista,Femme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Tous les jours,Une fois par semaine,Tous les jours,Une fois par semaine
16/11/2019 11:15:40,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Une fois par mois,Tous les jours,Une fois par semaine,Tous les jours
16/11/2019 12:39:40,Classique,Homme,18-25 ans,Informatique & Télécommunication,Cadre,Tous les jours,Tous les jours,Tous les jours,Tous les jours,Une fois par mois
16/11/2019 17:51:53,Naturel/sportive,Femme,26-35 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine
17/11/2019 03:38:25,Naturel/sportive,Femme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine,Jamais
17/11/2019 07:26:33,Romantique,Homme,18-25 ans,Audio Visuel,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine
17/11/2019 07:54:05,Classique,Homme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Une fois par semaine,Tous les jours,Une fois par semaine,Tous les jours,Une fois par semaine
17/11/2019 09:20:39,Classique,Homme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Une fois par semaine,Tous les jours,Tous les jours,Tous les jours,Une fois par semaine
17/11/2019 09:45:38,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours
17/11/2019 09:47:49,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours
17/11/2019 11:15:10,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Tous les jours,Jamais,Tous les jours
17/11/2019 11:16:37,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,ouvrier(ère),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
17/11/2019 11:16:43,Tendance/fashionista,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Une fois par semaine,Tous les jours,Une fois par semaine,Tous les jours
17/11/2019 11:21:49,Classique,Homme,18-25 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par mois
17/11/2019 11:40:15,Tendance/fashionista,Homme,26-35 ans,Comptabilité & Marketing,ouvrier(ère),Une fois par semaine,Jamais,Tous les jours,Tous les jours,Tous les jours
17/11/2019 12:18:03,Classique,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine,Tous les jours
17/11/2019 12:25:49,Naturel/sportive,Femme,26-35 ans,Transport,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
17/11/2019 12:26:08,Classique,Homme,26-35 ans,Transport,Cadre,Une fois par mois,Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine
17/11/2019 12:33:15,Classique,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine
17/11/2019 14:56:34,Classique,Femme,18-25 ans,Bâtiment,ouvrier(ère),Tous les jours,Tous les jours,Tous les jours,Une fois par mois,Tous les jours
17/11/2019 15:16:19,Classique,Femme,18-25 ans,Medical,Etudiant(e),Jamais,Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine
17/11/2019 15:56:32,Classique,Homme,36-45 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par mois,Tous les jours
17/11/2019 16:02:06,Classique,Homme,18-25 ans,Industrie,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine
17/11/2019 16:06:06,Naturel/sportive,Homme,18-25 ans,Transport,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
17/11/2019 16:44:29,Classique,Homme,+ 45 ans,Bâtiment,Cadre,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours
17/11/2019 17:26:58,Classique,Homme,36-45 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par mois,Une fois par semaine,Une fois par semaine,Tous les jours
17/11/2019 20:15:21,Classique,Homme,36-45 ans,Banque & Assurance,Cadre,Tous les jours,Tous les jours,Une fois par semaine,Tous les jours,Une fois par semaine
17/11/2019 22:52:06,Classique,Homme,26-35 ans,Comptabilité & Marketing,Cadre,Une fois par semaine,Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine
18/11/2019 07:06:57,Naturel/sportive,Homme,26-35 ans,Comptabilité & Marketing,Indépendant(e),Une fois par semaine,Jamais,Une fois par semaine,Une fois par semaine,Tous les jours
18/11/2019 08:40:48,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Une fois par mois
18/11/2019 08:50:32,Classique,Homme,36-45 ans,Informatique & Télécommunication,Cadre,Tous les jours,Tous les jours,Une fois par semaine,Une fois par mois,Tous les jours
18/11/2019 11:27:48,Classique,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Jamais,Une fois par semaine,Une fois par semaine,Tous les jours
18/11/2019 15:35:46,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine
20/11/2019 00:10:33,Classique,Homme,26-35 ans,Banque & Assurance,Cadre,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours
20/11/2019 00:18:23,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Une fois par semaine,Tous les jours,Tous les jours,Tous les jours
20/11/2019 02:38:32,Tendance/fashionista,Femme,26-35 ans,Mode,Indépendant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Une fois par semaine
20/11/2019 10:55:31,Tendance/fashionista,Femme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
21/11/2019 08:45:37,Tendance/fashionista,Femme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
21/11/2019 09:11:12,Classique,Homme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Jamais,Tous les jours,Tous les jours,Une fois par semaine
21/11/2019 10:06:51,Classique,Homme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Une fois par mois,Tous les jours,Une fois par semaine,Une fois par semaine
21/11/2019 10:08:54,Classique,Homme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Une fois par mois,Tous les jours,Une fois par semaine,Une fois par semaine
21/11/2019 10:15:47,Classique,Homme,26-35 ans,Transport,Cadre,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours
21/11/2019 11:00:17,Classique,Homme,26-35 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Jamais,Une fois par semaine,Une fois par semaine,Une fois par mois
21/11/2019 11:44:59,Classique,Homme,26-35 ans,Bâtiment,Cadre,Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Tous les jours
21/11/2019 13:18:17,Minimaliste,Femme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par mois,Tous les jours
21/11/2019 18:32:44,Classique,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Une fois par mois,Une fois par semaine,Une fois par mois
21/11/2019 20:03:56,Classique,Femme,26-35 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Une fois par semaine,Tous les jours,Une fois par semaine,Une fois par semaine
21/11/2019 21:02:08,Tendance/fashionista,Homme,18-25 ans,Industrie,Etudiant(e),Une fois par semaine,Une fois par mois,Tous les jours,Une fois par mois,Tous les jours
22/11/2019 18:13:12,Classique,Homme,18-25 ans,Industrie,Etudiant(e),Tous les jours,Une fois par mois,Tous les jours,Une fois par mois,Une fois par semaine
25/11/2019 06:27:28,Naturel/sportive,Homme,36-45 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine
26/11/2019 18:11:16,Classique,Femme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Tous les jours,Tous les jours,Tous les jours,Tous les jours
27/11/2019 14:40:52,Classique,Homme,26-35 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Jamais,Tous les jours,Tous les jours,Une fois par mois
27/11/2019 14:52:51,Classique,Homme,36-45 ans,Comptabilité & Marketing,Cadre,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Tous les jours
27/11/2019 15:07:30,Classique,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine
27/11/2019 16:22:49,Classique,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine
27/11/2019 16:35:24,Classique,Homme,26-35 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Tous les jours,Tous les jours,Tous les jours,Une fois par semaine
27/11/2019 16:41:59,Naturel/sportive,Femme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Tous les jours,Tous les jours,Une fois par semaine
27/11/2019 16:44:58,Dramatique/Créative,Femme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Une fois par mois,Tous les jours,Tous les jours,Une fois par semaine
27/11/2019 16:48:40,Naturel/sportive,Homme,26-35 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Une fois par mois,Tous les jours,Une fois par semaine
27/11/2019 16:52:17,Classique,Femme,26-35 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Tous les jours,Une fois par mois,Tous les jours,Tous les jours
27/11/2019 17:00:05,Naturel/sportive,Femme,18-25 ans,Informatique & Télécommunication,Cadre,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine,Une fois par semaine
27/11/2019 17:04:03,Tendance/fashionista,Femme,18-25 ans,Informatique & Télécommunication,Etudiant(e),Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par mois
27/11/2019 18:56:47,Naturel/sportive,Homme,+ 45 ans,Informatique & Télécommunication,Cadre,Tous les jours,Une fois par semaine,Tous les jours,Tous les jours,Une fois par mois
27/11/2019 19:27:57,Classique,Femme,18-25 ans,Informatique & Télécommunication,Cadre,Tous les jours,Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine
27/11/2019 20:28:47,Classique,Femme,18-25 ans,Informatique & Télécommunication,Indépendant(e),Tous les jours,Tous les jours,Une fois par semaine,Une fois par semaine,Une fois par mois
